paper_name,query,max_iterations,total_iterations_executed,iteration_number,questions_total,questions_correct,incorrect_questions,accuracy,acu_questions_total,acu_questions_correct,acu_accuracy,judgment,status,source_file
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,1,9,4,5,0.4444,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,2,9,6,3,0.6667,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,3,9,5,4,0.5556,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,4,9,5,4,0.5556,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,5,9,4,5,0.4444,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,6,9,6,3,0.6667,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,7,9,5,4,0.5556,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,8,9,6,3,0.6667,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,9,9,6,3,0.6667,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,10,9,6,3,0.6667,4,3,0.7500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,1,9,4,5,0.4444,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,2,9,6,3,0.6667,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,3,9,4,5,0.4444,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,4,9,4,5,0.4444,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,5,9,5,4,0.5556,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,6,9,6,3,0.6667,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,7,9,5,4,0.5556,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,8,9,5,4,0.5556,4,3,0.7500,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,9,9,4,5,0.4444,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,10,9,6,3,0.6667,4,2,0.5000,false,max_iterations_reached,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89,The paper's dual approach to the engineering problem of embedding dimensionality.,10,10,1,9,3,6,0.3333,4,1,0.2500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89.json
distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89,The paper's dual approach to the engineering problem of embedding dimensionality.,10,10,2,9,1,8,0.1111,4,1,0.2500,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89.json
distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89,The paper's dual approach to the engineering problem of embedding dimensionality.,10,10,3,9,3,6,0.3333,4,0,0.0000,false,max_iterations_reached,distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89.json
