paper_name,query,max_iterations,total_iterations_executed,iteration_number,questions_total,questions_correct,incorrect_questions,accuracy,acu_questions_total,acu_questions_correct,acu_accuracy,judgment,status,sections_to_highlight_size,source_file
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,1,9,8,1,0.8889,4,4,1.0000,false,max_iterations_reached,7,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,2,9,3,6,0.3333,4,0,0.0000,false,max_iterations_reached,7,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,3,9,3,6,0.3333,4,0,0.0000,false,max_iterations_reached,7,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,4,9,3,6,0.3333,4,0,0.0000,false,max_iterations_reached,6,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,5,9,4,5,0.4444,4,0,0.0000,false,max_iterations_reached,2,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,6,9,3,6,0.3333,4,0,0.0000,false,max_iterations_reached,7,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,7,9,3,6,0.3333,4,0,0.0000,false,max_iterations_reached,6,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,8,9,3,6,0.3333,4,0,0.0000,false,max_iterations_reached,5,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,9,9,5,4,0.5556,4,0,0.0000,false,max_iterations_reached,4,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01,The progressive constraint strategy in knowledge distillation.,10,10,10,9,3,6,0.3333,4,0,0.0000,false,max_iterations_reached,7,distillation-of-SOTA-embedding-models--The-progressive-constraint-strategy-in-k--3f195d01.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,1,10,4,6,0.4000,5,2,0.4000,false,max_iterations_reached,7,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,2,10,6,4,0.6000,5,2,0.4000,false,max_iterations_reached,4,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,3,10,5,5,0.5000,5,3,0.6000,false,max_iterations_reached,5,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,4,10,10,0,1.0000,5,5,1.0000,true,max_iterations_reached,7,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,5,10,7,3,0.7000,5,3,0.6000,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,6,10,6,4,0.6000,5,3,0.6000,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,7,10,6,4,0.6000,5,3,0.6000,false,max_iterations_reached,7,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,8,10,7,3,0.7000,5,4,0.8000,false,max_iterations_reached,5,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,9,10,6,4,0.6000,5,2,0.4000,false,max_iterations_reached,5,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa,"The divergent behaviors of different model families (Qwen, Llama, OLMo) under identical RLVR training, highlighting a fundamental lack of technique generalization.",10,10,10,10,6,4,0.6000,5,3,0.6000,false,max_iterations_reached,4,Rethinking-Training-Signals-in-RLVR--The-divergent-behaviors-of-different-mod--ff2feefa.json
distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89,The paper's dual approach to the engineering problem of embedding dimensionality.,10,2,1,8,4,4,0.5000,3,2,0.6667,false,completed,5,distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89.json
distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89,The paper's dual approach to the engineering problem of embedding dimensionality.,10,2,2,8,8,0,1.0000,3,3,1.0000,true,completed,3,distillation-of-SOTA-embedding-models--The-paper-s-dual-approach-to-the-enginee--ca927b89.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,1,9,5,4,0.5556,4,1,0.2500,false,max_iterations_reached,0,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,2,9,5,4,0.5556,4,1,0.2500,false,max_iterations_reached,4,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,3,9,4,5,0.4444,4,1,0.2500,false,max_iterations_reached,7,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,4,9,4,5,0.4444,4,1,0.2500,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,5,9,5,4,0.5556,4,1,0.2500,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,6,9,5,4,0.5556,4,1,0.2500,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,7,9,3,6,0.3333,4,1,0.2500,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,8,9,6,3,0.6667,4,2,0.5000,false,max_iterations_reached,5,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",10,10,9,9,4,5,0.4444,4,1,0.2500,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
