paper_name,query,max_iterations,total_iterations_executed,iteration_number,questions_total,questions_correct,incorrect_questions,accuracy,acu_questions_total,acu_questions_correct,acu_accuracy,judgment,status,sections_to_highlight_size,source_file
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,1,10,4,6,0.4000,5,1,0.2000,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,2,10,4,6,0.4000,5,1,0.2000,false,max_iterations_reached,7,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,3,10,3,7,0.3000,5,1,0.2000,false,max_iterations_reached,7,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,4,10,5,5,0.5000,5,1,0.2000,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,5,10,7,3,0.7000,5,3,0.6000,false,max_iterations_reached,3,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,6,10,8,2,0.8000,5,3,0.6000,false,max_iterations_reached,4,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,7,10,4,6,0.4000,5,1,0.2000,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,8,10,6,4,0.6000,5,1,0.2000,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,9,10,4,6,0.4000,5,1,0.2000,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,10,10,5,5,0.5000,5,1,0.2000,false,max_iterations_reached,6,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,11,10,5,5,0.5000,5,1,0.2000,false,max_iterations_reached,5,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a,"The influence of a model's pretrained latent abilities (like code reasoning) on the outcomes of reinforcement learning, irrespective of the reward signal's quality.",15,15,12,10,4,6,0.4000,5,1,0.2000,false,max_iterations_reached,0,Rethinking-Training-Signals-in-RLVR--The-influence-of-a-model-s-pretrained-la--d60fc74a.json
